2.20,0.00,0.00, 0.00
0.00,0.05,0.00, 0.53
0.00,0.04,0.00, 0.33
0.00,0.04,0.00, 0.28
0.00,0.04,0.00, 0.23
0.00,0.04,0.00, 0.19
0.00,0.05,0.00, 0.24
0.00,0.04,0.00, 0.12
0.00,0.04,0.00, 0.10
0.00,0.04,0.00, 0.08
0.00,0.04,0.00, 0.07
0.00,0.05,0.00, 0.14
0.00,0.04,0.00, 0.04
0.00,0.05,0.00, 0.11
0.00,0.05,0.00, 0.09
0.00,0.05,0.00, 0.08
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.15
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.07
0.00,0.05,0.00, 0.06
0.00,0.05,0.00, 0.05
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.15
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.07
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.07
0.00,0.05,0.00, 0.06
0.00,0.05,0.00, 0.05
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.07
0.00,0.05,0.00, 0.06
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.07
0.00,0.03,0.00, 0.00
0.00,0.05,0.00, 0.16
0.00,0.05,0.00, 0.14
0.00,0.05,0.00, 0.11
0.00,0.05,0.00, 0.10
0.00,0.04,0.00, 0.00
0.00,0.04,0.00, 0.00
0.00,0.05,0.00, 0.08
0.00,0.05,0.00, 0.07
0.00,0.05,0.00, 0.06
0.00,0.05,0.00, 0.05
